group,metric,value
statistical_realism,mean_kl_divergence,0.07071448193330991
statistical_realism,median_kl_divergence,0.0
statistical_realism,mean_js_divergence,0.00852924368166612
statistical_realism,mean_wasserstein,0.07766428206413899
statistical_realism,n_features,150
diagnostic_performance,model,XGBoost
diagnostic_performance,train_test_split,70/30
diagnostic_performance,n_classes,16
diagnostic_performance,n_test_samples,3000
diagnostic_performance,synthetic_roc_auc_macro,0.8533089532970792
diagnostic_performance,synthetic_roc_auc_weighted,0.8155741833374123
diagnostic_performance,synthetic_sensitivity_macro,0.4254758029838095
diagnostic_performance,synthetic_specificity_macro,0.9555017338021777
diagnostic_performance,synthetic_f1_macro,0.3464211214147084
diagnostic_performance,synthetic_f1_weighted,0.26448994049197044
diagnostic_performance,synthetic_recall_weighted,0.345
diagnostic_performance,synthetic_accuracy,0.345
diagnostic_performance,archetype_roc_auc_macro,0.8464779832258598
diagnostic_performance,utility_gap,-0.013333333333333308
coverage,titrate_candidate_acceptance_rate,0.716
coverage,candidates_accepted,5728
coverage,candidates_probed,8000
coverage,retained_cohort_valid_fraction,1.0
coverage,n_archetypes_generated,10000
coverage,n_diagnosis_classes_total,16
counterfactual_consistency,perturbation,timing_flip_acute_episodic
counterfactual_consistency,n_perturbations,2000
counterfactual_consistency,consistency_reaction_rate,0.7245
traceability,n_populated_features,52
traceability,n_traceable_features,52
traceability,traceability_rate,1.0
